size_class,rep,tank,size,avg_size,kelp_in,kelp_out48,kelp_out96,kelp_consumed,herb_rate
30-49,3,5bi,32,38.8,50.6,35.8,33,17.6,0.183333333
30-49,3,5bi,41,38.8,50.6,35.8,33,17.6,0.183333333
30-49,3,5bi,38,38.8,50.6,35.8,33,17.6,0.183333333
30-49,3,5bi,43,38.8,50.6,35.8,33,17.6,0.183333333
30-49,3,5bi,40,38.8,50.6,35.8,33,17.6,0.183333333
90-109,3,5bd,104,97.6,50.8,45.5,39.2,11.6,0.120833333
90-109,3,5bd,100,97.6,50.8,45.5,39.2,11.6,0.120833333
90-109,3,5bd,92,97.6,50.8,45.5,39.2,11.6,0.120833333
90-109,3,5bd,93,97.6,50.8,45.5,39.2,11.6,0.120833333
90-109,3,5bd,99,97.6,50.8,45.5,39.2,11.6,0.120833333
30-49,2,5ti,33,38.2,50.1,39,39.6,10.5,0.109375
30-49,2,5ti,47,38.2,50.1,39,39.6,10.5,0.109375
30-49,2,5ti,36,38.2,50.1,39,39.6,10.5,0.109375
30-49,2,5ti,35,38.2,50.1,39,39.6,10.5,0.109375
30-49,2,5ti,40,38.2,50.1,39,39.6,10.5,0.109375
50-69,1,5td,65,62.6,50.7,26.5,24.2,26.5,0.276041667
50-69,1,5td,66,62.6,50.7,26.5,24.2,26.5,0.276041667
50-69,1,5td,60,62.6,50.7,26.5,24.2,26.5,0.276041667
50-69,1,5td,62,62.6,50.7,26.5,24.2,26.5,0.276041667
50-69,1,5td,60,62.6,50.7,26.5,24.2,26.5,0.276041667
90-109,2,7bi,103,99.4,50.6,48.9,47.5,3.1,0.032291667
90-109,2,7bi,102,99.4,50.6,48.9,47.5,3.1,0.032291667
90-109,2,7bi,103,99.4,50.6,48.9,47.5,3.1,0.032291667
90-109,2,7bi,95,99.4,50.6,48.9,47.5,3.1,0.032291667
90-109,2,7bi,94,99.4,50.6,48.9,47.5,3.1,0.032291667
70-89,3,7bd,88,79.6,50.6,47.4,47.2,3.4,0.035416667
70-89,3,7bd,83,79.6,50.6,47.4,47.2,3.4,0.035416667
70-89,3,7bd,75,79.6,50.6,47.4,47.2,3.4,0.035416667
70-89,3,7bd,79,79.6,50.6,47.4,47.2,3.4,0.035416667
70-89,3,7bd,73,79.6,50.6,47.4,47.2,3.4,0.035416667
10.0-29,1,7ti,24,26.6,50.2,44.6,44,6.2,0.064583333
10.0-29,1,7ti,29,26.6,50.2,44.6,44,6.2,0.064583333
10.0-29,1,7ti,27,26.6,50.2,44.6,44,6.2,0.064583333
10.0-29,1,7ti,26,26.6,50.2,44.6,44,6.2,0.064583333
10.0-29,1,7ti,27,26.6,50.2,44.6,44,6.2,0.064583333
70-89,2,7td,88,84,50.4,49.6,47.8,2.6,0.027083333
70-89,2,7td,76,84,50.4,49.6,47.8,2.6,0.027083333
70-89,2,7td,85,84,50.4,49.6,47.8,2.6,0.027083333
70-89,2,7td,83,84,50.4,49.6,47.8,2.6,0.027083333
70-89,2,7td,88,84,50.4,49.6,47.8,2.6,0.027083333
50-69,3,12bi,67,57.2,50.8,15.8,1.6,49.2,0.5125
50-69,3,12bi,51,57.2,50.8,15.8,1.6,49.2,0.5125
50-69,3,12bi,51,57.2,50.8,15.8,1.6,49.2,0.5125
50-69,3,12bi,55,57.2,50.8,15.8,1.6,49.2,0.5125
50-69,3,12bi,62,57.2,50.8,15.8,1.9,48.9,0.509375
70-89,1,12bd,89,83.4,50.7,48.2,47.9,2.8,0.029166667
70-89,1,12bd,87,83.4,50.7,48.2,47.9,2.8,0.029166667
70-89,1,12bd,79,83.4,50.7,48.2,47.9,2.8,0.029166667
70-89,1,12bd,78,83.4,50.7,48.2,47.9,2.8,0.029166667
70-89,1,12bd,84,83.4,50.7,48.2,47.9,2.8,0.029166667
10.0-29,3,12ti,28,24.4,50.4,41.9,36.2,14.2,0.147916667
10.0-29,3,12ti,23,24.4,50.4,41.9,36.2,14.2,0.147916667
10.0-29,3,12ti,25,24.4,50.4,41.9,36.2,14.2,0.147916667
10.0-29,3,12ti,22,24.4,50.4,41.9,36.2,14.2,0.147916667
10.0-29,3,12ti,24,24.4,50.4,41.9,36.2,14.2,0.147916667
90-109,1,12td,99,98.6,50.7,46.5,46,4.7,0.048958333
90-109,1,12td,94,98.6,50.7,46.5,46,4.7,0.048958333
90-109,1,12td,103,98.6,50.7,46.5,46,4.7,0.048958333
90-109,1,12td,103,98.6,50.7,46.5,46,4.7,0.048958333
90-109,1,12td,94,98.6,50.7,46.5,46,4.7,0.048958333
50-69,2,10bi,61,60,50.7,26.4,6.5,44.2,0.460416667
50-69,2,10bi,54,60,50.7,26.4,6.5,44.2,0.460416667
50-69,2,10bi,50,60,50.7,26.4,6.5,44.2,0.460416667
50-69,2,10bi,66,60,50.7,26.4,6.5,44.2,0.460416667
50-69,2,10bi,69,60,50.7,26.4,6.5,44.2,0.460416667
30-49,1,10bd,40,40.6,50.8,41.5,32,18.8,0.195833333
30-49,1,10bd,47,40.6,50.8,41.5,32,18.8,0.195833333
30-49,1,10bd,35,40.6,50.8,41.5,32,18.8,0.195833333
30-49,1,10bd,45,40.6,50.8,41.5,32,18.8,0.195833333
30-49,1,10bd,36,40.6,50.8,41.5,32,18.8,0.195833333
10.0-29,2,13ti,21,24.8,50.8,45.6,41.3,9.5,0.098958333
10.0-29,2,13ti,26,24.8,50.8,45.6,41.3,9.5,0.098958333
10.0-29,2,13ti,29,24.8,50.8,45.6,41.3,9.5,0.098958333
10.0-29,2,13ti,22,24.8,50.8,45.6,41.3,9.5,0.098958333
10.0-29,2,13ti,26,24.8,50.8,45.6,41.3,9.5,0.098958333
,,13td,control,NA,50.3,50.2,50,,