date,week_no,trial_id,tank,side,urchin_dens,urchin_size_cat,days_starved,kelp_in,time_out,kelp_out,use
5/20/19,1,3,2,D,7,1,5,49.1,1130,43.8,1
5/20/19,1,8,4,I,7,1,5,49.7,1130,45.3,1
5/20/19,1,10,5,D,7,1,5,51,1130,47.4,1
5/20/19,1,18,9,I,7,1,5,51.2,1130,44.8,1
5/27/19,2,30,2,I,7,1,5,50.8,1100,44.7,1
5/27/19,2,33,4,D,7,1,5,50.9,1100,43.7,1
5/27/19,2,35,5,I,7,1,5,50.5,1100,45.8,1
5/27/19,2,43,9,D,7,1,5,50.7,1100,46,1
5/20/19,1,6,3,I,7,2,5,47.4,1130,38.8,1
5/20/19,1,14,7,D,7,2,5,52.5,1130,45.3,1
5/27/19,2,31,3,D,7,2,5,50.3,1100,40.4,1
5/27/19,2,39,7,I,7,2,5,49.6,1100,41.1,1
5/27/19,2,44,9,I,7,2,5,50.8,1100,43.1,1
5/27/19,2,49,12,D,7,2,5,50.4,1100,43,1
5/20/19,1,7,4,D,7,3,5,51.6,1130,40.1,1
5/20/19,1,9,5,I,7,3,5,47.5,1130,31.7,1
5/20/19,1,19,10,D,7,3,5,51,1130,38.6,1
5/27/19,2,34,4,I,7,3,5,50.7,1100,40.4,1
5/27/19,2,36,5,D,7,3,5,50.6,1100,28.4,1
5/27/19,2,46,10,I,7,3,5,50.9,1100,35.1,1
5/27/19,2,50,12,I,7,3,5,50.4,1100,33,1
5/20/19,1,2,1,I,7,4,5,50.8,1130,39.9,1
5/20/19,1,11,6,I,7,4,5,48.8,1130,34.4,1
5/20/19,1,16,8,I,7,4,5,49.7,1130,40.6,1
5/27/19,2,28,1,I,7,4,5,50.6,1100,30.8,1
5/27/19,2,37,6,D,7,4,5,50.3,1100,46.9,1
5/27/19,2,41,8,D,7,4,5,50.6,1100,35.4,1
5/27/19,2,52,14,D,7,4,5,50.5,1100,25.1,1
5/20/19,1,4,2,I,7,5,5,49.3,1130,32,1
5/20/19,1,13,7,I,7,5,5,49.7,1130,23,1
5/20/19,1,20,10,I,7,5,5,48.9,1130,18.8,1
5/20/19,1,21,11,I,7,5,5,48.9,1130,29.2,1
5/27/19,2,29,2,D,7,5,5,50.7,1100,32.9,1
5/27/19,2,40,7,D,7,5,5,50.8,1100,27,1
5/27/19,2,47,11,D,7,5,5,50.4,1100,28.5,1
5/20/19,1,5,3,D,7,6,5,49.9,1130,31.1,1
5/20/19,1,12,6,D,7,6,5,48.8,1130,35.8,1
5/20/19,1,22,11,D,7,6,5,49.8,1130,43.1,1
5/27/19,2,32,3,I,7,6,5,51.6,1100,32.6,1
5/27/19,2,38,6,I,7,6,5,49.6,1100,41.4,1
5/27/19,2,48,11,I,7,6,5,49.3,1100,29.2,1
5/27/19,2,51,14,I,7,6,5,50.8,1100,17.6,1